Synthetic data,,,,,
intensity threshold,interpolation resolution,no. vertices,no. triangles,area(cm^2),volume(ml)
254,8,182,352,22.8,2.25
,4,413,814,27.2,3.73
,2,1640,3260,29.7,4.39
,1,6580,13200,30.4,4.49
127,8,4510,9020,699,1737
,4,10200,20400,701,1740
,2,40900,81900,706,1743
,1,166000,331000,713,1743
